,ID,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Year
3424,26171,FPQ-3859,SCMS-48831,ASN-5800,Rwanda,PMO - US,Direct Drop,CIP,Air,6/30/2009,2009-07-16,27-Jan-10,27-Jan-10,27-Jan-10,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,276,2362.56,8.56,0.29,"Aurobindo Unit III, India",Yes,26,2187.01,4.63,2009
3425,26188,FPQ-7909,SCMS-114980,ASN-11930,Tanzania,PMO - US,Direct Drop,EXW,Air,6/24/2011,2011-07-18,29-Sep-11,29-Sep-11,29-Sep-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3334,23030.38,330.0,2011
3426,26192,FPQ-15040,SCMS-263630,ASN-31648,Vietnam,PMO - US,Direct Drop,EXW,Air,10/30/2014,2014-12-08,1-Jun-15,1-Jun-15,1-Jun-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,18616,188952.4,10.15,0.34,Mylan (formerly Matrix) Nashik,Yes,2101,4384.01,194.24,2014
3428,26250,FPQ-3976,SCMS-52791,ASN-4981,Kenya,PMO - US,Direct Drop,EXW,Air,7/20/2009,2009-09-03,13-Oct-09,13-Oct-09,13-Oct-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,2000,64000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,682,7258.89,125.44,2009
3430,26265,FPQ-15220,SCMS-261590,ASN-31188,Zimbabwe,PMO - US,Direct Drop,FCA,Air,10/27/2014,2014-10-30,7-May-15,7-May-15,7-May-15,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,300,2626,80933.32,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,2584,20480.64,95.26,2014
3433,26345,FPQ-11623,SCMS-178030,ASN-19143,South Sudan,PMO - US,Direct Drop,EXW,Air,2/8/2013,2013-02-27,16-Aug-13,16-Aug-13,16-Aug-13,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,100,214,1712.0,8.0,0.08,"Alere Medical Co., Ltd.",Yes,97,2590.24,2.12,2013
3434,26397,FPQ-7907,SCMS-115320,ASN-12097,Kenya,PMO - US,Direct Drop,EXW,Air,6/23/2011,2011-07-20,30-Sep-11,30-Sep-11,30-Sep-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,7318,651302.0,89.0,0.89,Inverness Japan,Yes,2556,29339.63,1074.65,2011
3435,26410,FPQ-4186,SCMS-53270,ASN-5204,Namibia,PMO - US,Direct Drop,EXW,Air,9/3/2009,2009-09-11,27-Oct-09,27-Oct-09,27-Oct-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,1000,32000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,345,8858.67,62.72,2009
3437,26440,FPQ-6263,SCMS-87290,ASN-8998,Zambia,PMO - US,Direct Drop,EXW,Air,9/8/2010,2010-10-07,17-Dec-10,17-Dec-10,17-Dec-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,2730,218400.0,80.0,0.8,Inverness Japan,Yes,1318,21737.72,470.87,2010
3438,26466,FPQ-9201,SCMS-144320,ASN-14987,Nigeria,PMO - US,Direct Drop,EXW,Air,3/19/2012,2012-05-01,5-Jun-12,5-Jun-12,5-Jun-12,ANTM,Malaria,IDA FOUNDATION,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, Blister 10 x 3 Tabs",Sulfadoxine/Pyrimethamine,Generic,30,1200,1836.0,1.53,0.05,"Micro Labs Ltd. (Brown & Burk), India",Yes,52,428.66,2.57,2012
3439,26505,FPQ-13391,SCMS-221920,ASN-24156,Mali,PMO - US,Direct Drop,EXW,Air,12/16/2013,2014-01-22,12-Feb-14,12-Feb-14,20-Feb-14,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,100,4,1400.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,11,1195.24,1.44,2014
3440,26558,FPQ-7742,SCMS-111230,ASN-11793,Nigeria,PMO - US,Direct Drop,EXW,Air,5/31/2011,2011-06-21,13-Sep-11,13-Sep-11,13-Sep-11,ANTM,Malaria,IDA FOUNDATION,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, Blister 10 x 3 Tabs",Sulfadoxine/Pyrimethamine,Generic,30,300,330.0,1.1,0.04,"Remedica, Limassol, Cyprus",Yes,13,365.48,0.54,2011
3441,26571,FPQ-4167,SCMS-54170,ASN-5725,Botswana,PMO - US,Direct Drop,EXW,Air,9/9/2009,2009-09-30,5-Feb-10,5-Feb-10,5-Feb-10,HRDT,HIV test - Ancillary,Orasure Technologies Inc.,"#109435**HIV, OraQuick Controls Kit, 3 Vials","HIV, OraQuick Controls Kit, 3 Vials",OraQuick,3,10,250.0,25.0,8.33,"Orasure Technologies, Inc USA",Yes,6,322.12,0.49,2009
3444,26591,FPQ-5303,SCMS-68860,ASN-6932,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/2010,2010-03-19,1-Jun-10,4-Jun-10,4-Jun-10,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,53954,251965.18,4.67,0.16,"Aurobindo Unit III, India",Yes,4564,6105.79,543.24,2010
3445,26612,FPQ-13524,SCMS-226260,ASN-26927,Vietnam,PMO - US,Direct Drop,EXW,Air,2/6/2014,2014-03-10,13-Aug-14,13-Aug-14,25-Aug-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,60,18600,34410.0,1.85,0.03,Hetero Unit III Hyderabad IN,Yes,2175,4354.8,35.37,2014
3446,26617,FPQ-9365,SCMS-142240,ASN-14834,Uganda,PMO - US,Direct Drop,CIP,Air,3/15/2012,2012-04-04,21-May-12,21-May-12,21-May-12,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,60,189,10489.5,55.5,0.92,"MSD, Haarlem, NL",Yes,19,710.0,14.71,2012
3449,26686,FPQ-10435,SCMS-155770,ASN-15983,Botswana,PMO - US,Direct Drop,EXW,Air,7/27/2012,2012-08-02,27-Aug-12,27-Aug-12,27-Aug-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,4000,128000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1315,13179.8,179.46,2012
3451,26741,FPQ-11382,SCMS-173330,ASN-18684,South Sudan,PMO - US,Direct Drop,EXW,Air,1/4/2013,2013-01-22,9-May-13,9-May-13,9-May-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,544,48416.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,226,5613.63,59.89,2013
3455,26821,FPQ-4157,SCMS-52774,ASN-5621,Tanzania,PMO - US,Direct Drop,EXW,Air,8/27/2009,2009-09-03,11-Dec-09,11-Dec-09,11-Dec-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,100,950,66500.0,70.0,0.7,Inverness Japan,Yes,216,3744.18,130.34,2009
3456,26829,FPQ-5303,SCMS-68750,ASN-8702,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/2010,2010-03-19,13-Oct-10,29-Nov-10,29-Nov-10,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,44717,349686.94,7.82,0.26,"Cipla, Goa, India",Yes,3071,3646.13,753.93,2010
3458,26843,FPQ-8261,SCMS-120463,ASN-12332,Sudan,PMO - US,Direct Drop,EXW,Air,8/29/2011,2011-09-07,11-Jan-12,11-Jan-12,11-Jan-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,11,352.0,32.0,1.6,"Trinity Biotech, Plc",Yes,5,578.73,0.58,2011
3460,26879,FPQ-6262,SCMS-83790,ASN-9477,South Africa,PMO - US,Direct Drop,DDP,Ocean,8/31/2010,2010-09-24,6-Jan-11,10-Mar-11,10-Mar-11,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,240,10233,21693.96,2.12,0.01,"Aurobindo Unit III, India",Yes,3542,6660.05,46.77,2010
3462,26898,FPQ-11065,SCMS-169350,ASN-18782,Haiti,PMO - US,Direct Drop,EXW,Air,11/26/2012,2012-12-12,25-Apr-13,25-Apr-13,25-Apr-13,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,1,250,6125.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,164,2179.49,7.58,2012
3463,26917,FPQ-6608,SCMS-92100,ASN-9295,Ethiopia,PMO - US,Direct Drop,EXW,Air,11/9/2010,2010-11-24,13-Jan-11,13-Jan-11,13-Jan-11,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,1,990,22770.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,718,6161.42,37.57,2010
3465,26961,FPQ-14083,SCMS-240110,ASN-27824,Haiti,PMO - US,Direct Drop,FCA,Air,5/11/2014,2014-05-28,26-Sep-14,26-Sep-14,6-Oct-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,120,1008,18809.28,18.66,0.16,ABBVIE Ludwigshafen Germany,Yes,406,2562.6,19.34,2014
3466,26965,FPQ-14325,SCMS-244370,ASN-29012,Uganda,PMO - US,Direct Drop,FCA,Air,5/26/2014,2014-06-23,8-Nov-14,8-Nov-14,12-Nov-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,60,579,3966.15,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,83,800.0,4.08,2014
3469,27015,FPQ-10636,SCMS-162550,ASN-18558,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,9/19/2012,2012-10-12,21-Mar-13,21-Mar-13,21-Mar-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,30,1400,31500.0,22.5,0.75,Mylan (formerly Matrix) Nashik,Yes,364,4171.65,44.16,2012
3470,27026,FPQ-5303,SCMS-68720,ASN-7537,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/2010,2010-03-19,19-Jul-10,29-Jul-10,29-Jul-10,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,2016,15765.12,7.82,0.26,"Cipla, Goa, India",Yes,136,1881.24,33.99,2010
3471,27049,FPQ-13809,SCMS-234100,ASN-27344,Ghana,PMO - US,Direct Drop,EXW,Air,3/7/2014,2014-04-14,8-Sep-14,8-Sep-14,10-Sep-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,17447,80605.14,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,1825,10790.63,82.86,2014
3472,27067,FPQ-12458,SCMS-196570,ASN-21226,Nigeria,PMO - US,Direct Drop,EXW,Air,6/10/2013,2013-07-10,27-Aug-13,27-Aug-13,27-Aug-13,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,20,202,6464.0,32.0,1.6,Chembio Diagnostics Sys. Inc.,Yes,60,624.92,8.0,2013
3473,27092,FPQ-11141,SCMS-173430,ASN-20630,Uganda,PMO - US,Direct Drop,FCA,Air,12/13/2012,2013-02-04,26-Jul-13,26-Jul-13,26-Jul-13,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,60,2565,15236.1,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,304,2808.12,18.85,2013
3474,27118,FPQ-12812,SCMS-210351,ASN-23950,Nigeria,PMO - US,Direct Drop,EXW,Air,8/13/2013,2013-11-01,18-Feb-14,14-Feb-14,19-Mar-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,9241,822449.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,3744,57484.06,1017.37,2013
3475,27177,FPQ-8801,SCMS-130210,ASN-13748,Haiti,PMO - US,Direct Drop,EXW,Air,12/7/2011,2012-01-09,5-Mar-12,5-Mar-12,5-Mar-12,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,1,505,12372.5,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,367,3638.86,17.35,2012
3476,27185,FPQ-7176,SCMS-104360,ASN-11044,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/2011,2011-04-01,2-Sep-11,2-Sep-11,2-Sep-11,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,90,300,2451.0,8.17,0.09,"Aurobindo Unit III, India",Yes,40,422.84,4.04,2011
3478,27200,FPQ-7175,SCMS-103720,ASN-11563,South Africa,PMO - US,Direct Drop,DDP,Air,3/10/2011,2011-03-23,2-Sep-11,2-Sep-11,2-Sep-11,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,92500,435675.0,4.71,0.16,Hetero Unit III Hyderabad IN,Yes,8025,9706.85,718.86,2011
3479,27234,FPQ-14813,SCMS-261770,ASN-29892,Rwanda,PMO - US,Direct Drop,EXW,Air,10/9/2014,2014-12-15,15-Jan-15,15-Jan-15,24-Feb-15,ARV,Pediatric,Aurobindo Pharma Limited,"Lopinavir/Ritonavir 100/25mg, tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,60,607,4880.28,8.04,0.13,"Aurobindo Unit III, India",Yes,66,1026.4,5.02,2014
3481,27238,FPQ-8261,SCMS-120470,ASN-13278,Sudan,PMO - US,Direct Drop,EXW,Air,8/29/2011,2011-09-07,7-Feb-12,7-Feb-12,7-Feb-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,53,1696.0,32.0,1.6,"Trinity Biotech, Plc",Yes,18,569.11,2.8,2011
3483,27269,FPQ-13852,SCMS-236481,ASN-27963,Rwanda,PMO - US,Direct Drop,FCA,Air,3/19/2014,2014-08-06,16-Sep-14,16-Sep-14,25-Sep-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,60,1514,10370.9,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,204,1949.64,10.66,2014
3485,27300,FPQ-6341,SCMS-84991,ASN-10790,Rwanda,PMO - US,Direct Drop,EXW,Air,9/3/2010,2010-09-28,17-Jun-11,17-Jun-11,17-Jun-11,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,43657,180303.41,4.13,0.14,Hetero Unit III Hyderabad IN,Yes,3720,35499.58,388.73,2010
3486,27327,FPQ-12456,SCMS-196560,ASN-21222,Nigeria,PMO - US,Direct Drop,EXW,Air,6/10/2013,2013-07-10,18-Sep-13,24-Sep-13,24-Sep-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,3023,269047.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1221,12793.7,332.81,2013
3487,27400,FPQ-12634,SCMS-201910,ASN-21478,Zambia,PMO - US,Direct Drop,EXW,Air,7/17/2013,2013-08-06,18-Sep-13,18-Sep-13,18-Sep-13,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,3000,96000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,880,7616.19,118.75,2013
3488,27421,FPQ-10809,SCMS-162860,ASN-17469,Tanzania,PMO - US,Direct Drop,EXW,Air,10/11/2012,2012-10-18,31-Dec-12,31-Dec-12,31-Dec-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,762,60960.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,362,7060.97,75.41,2012
3492,27462,FPQ-12057,SCMS-188860,ASN-21852,Guyana,PMO - US,Direct Drop,FCA,Air,4/15/2013,2013-05-23,29-Oct-13,29-Oct-13,29-Oct-13,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,300,12,729.84,60.82,0.2,ABBVIE (Abbott) Logis. UK,Yes,48,749.36,0.9,2013
3493,27474,FPQ-5292,SCMS-69260,ASN-6585,Sudan,PMO - US,Direct Drop,EXW,Air,3/15/2010,2010-03-24,7-May-10,7-May-10,7-May-10,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,160,5120.0,32.0,1.6,"Trinity Biotech, Plc",Yes,53,1310.92,11.04,2010
3495,27563,FPQ-6262,SCMS-83730,ASN-9193,South Africa,PMO - US,Direct Drop,DDP,Ocean,8/31/2010,2010-09-24,29-Dec-10,29-Dec-10,29-Dec-10,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,28330,188394.5,6.65,0.22,"Aurobindo Unit III, India",Yes,2645,5112.92,406.18,2010
3497,27586,FPQ-9807,SCMS-147641,ASN-16730,South Sudan,PMO - US,Direct Drop,EXW,Air,5/18/2012,2012-06-20,30-Nov-12,30-Nov-12,30-Nov-12,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,100,173,1384.0,8.0,0.08,"Alere Medical Co., Ltd.",Yes,201,5124.22,1.94,2012
3498,27604,FPQ-15065,SCMS-263320,ASN-30383,Rwanda,PMO - US,Direct Drop,EXW,Air,10/15/2014,2014-12-16,25-Feb-15,25-Feb-15,25-Feb-15,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,1144,91520.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,468,8806.76,94.08,2014
3500,27634,FPQ-13851,SCMS-239020,ASN-27336,Rwanda,PMO - US,Direct Drop,EXW,Air,3/10/2014,2014-05-16,22-Aug-14,22-Aug-14,26-Aug-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,30,3000,60000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,Yes,405,3484.48,61.68,2014
3501,27664,FPQ-14101,SCMS-245430,ASN-28552,Ghana,PMO - US,Direct Drop,EXW,Air,4/30/2014,2014-07-08,3-Nov-14,3-Nov-14,12-Nov-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,45632,210819.84,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,4539,22271.36,216.72,2014
3502,27670,FPQ-12273,SCMS-198550,ASN-21516,Uganda,PMO - US,Direct Drop,EXW,Air,7/8/2013,2013-08-12,30-Sep-13,30-Sep-13,30-Sep-13,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"HIV 1/2, Genie III Kit, 50 Tests","HIV 1/2, Genie III Kit",Genie,50,15,1363.65,90.91,1.82,Bio-Rad Laboratories,Yes,8,855.41,1.69,2013
3503,27675,FPQ-7321,SCMS-107770,ASN-10900,Sudan,PMO - US,Direct Drop,EXW,Air,3/29/2011,2011-05-02,24-Jun-11,24-Jun-11,24-Jun-11,HRDT,HIV test - Ancillary,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Diluent, 25 Tests, Bottle x 5 ml","HIV 1/2, Bioline 3.0 Diluent, 25 Tests",Bioline,1,13,11.7,0.9,0.9,"Standard Diagnostics, Korea",Yes,2,1193.15,0.02,2011
3504,27697,FPQ-14895,SCMS-261011,ASN-32761,Haiti,PMO - US,Direct Drop,EXW,Air,9/24/2014,2014-11-14,23-Jul-15,23-Jul-15,28-Jul-15,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,30,1052,18936.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,138,1719.78,19.47,2014
3505,27708,FPQ-9554,SCMS-142490,ASN-14433,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,3/19/2012,2012-03-27,25-Apr-12,25-Apr-12,25-Apr-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,596,47680.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,287,7024.86,66.85,2012
3506,27765,FPQ-14407,SCMS-244520,ASN-26987,Uganda,PMO - US,Direct Drop,EXW,Air,6/11/2014,2014-06-19,1-Aug-14,1-Aug-14,4-Aug-14,ARV,Adult,STRIDES ARCOLAB LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,61150,195068.5,3.19,0.11,"Strides, Bangalore, India.",Yes,3858,20553.85,200.53,2014
3507,27777,FPQ-9098,SCMS-133600,ASN-15705,Ethiopia,PMO - US,Direct Drop,EXW,Air,1/10/2012,2012-01-23,31-Jul-12,31-Jul-12,31-Jul-12,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,1,1362,33369.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,950,8859.91,46.78,2012
3509,27798,FPQ-4731,SCMS-59590,ASN-6042,Ethiopia,PMO - US,Direct Drop,EXW,Air,12/10/2009,2009-12-18,15-Feb-10,15-Feb-10,15-Feb-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,7197,32314.53,4.49,0.15,Mylan (formerly Matrix) Nashik,Yes,530,1860.69,69.67,2009
3511,27820,FPQ-7617,SCMS-109060,ASN-11530,Uganda,PMO - US,Direct Drop,DDP,Air,4/29/2011,2011-05-12,22-Jul-11,22-Jul-11,22-Jul-11,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,120,93,7839.9,84.3,0.7,"Janssen-Cilag, Latina, IT",Yes,22,140.0,12.94,2011
3512,27829,FPQ-14470,SCMS-245250,ASN-27328,South Sudan,PMO - US,Direct Drop,EXW,Air,6/17/2014,2014-06-30,3-Oct-14,3-Oct-14,12-Nov-14,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,100,115,920.0,8.0,0.08,"Alere Medical Co., Ltd.",Yes,173,4594.07,0.95,2014
3513,27833,FPQ-11560,SCMS-177630,ASN-20042,Vietnam,PMO - US,Direct Drop,EXW,Air,2/7/2013,2013-02-13,13-Jul-13,13-Jul-13,13-Jul-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,42699,490611.51,11.49,0.38,Mylan (formerly Matrix) Nashik,Yes,4806,18700.09,606.89,2013
